datetime,pBuy,pSell
2024.12.24 11:15,0.0,0.7513
2024.12.24 11:30,0.0,0.7013
2024.12.24 13:30,0.744,0.0
2024.12.24 13:45,0.794,0.0
2024.12.24 14:00,0.744,0.0
2024.12.24 15:30,0.7382,0.0
2024.12.24 15:45,0.7882,0.0
2024.12.24 16:00,0.7382,0.0
2024.12.24 16:30,0.0,0.77
2024.12.24 16:45,0.0,0.82
2024.12.24 17:00,0.0,0.77
2024.12.26 09:00,0.0,0.76
2024.12.26 09:15,0.0,0.81
2024.12.26 09:30,0.0,0.76
2024.12.26 13:30,0.0,0.7427
2024.12.26 13:45,0.0,0.7927
2024.12.26 14:00,0.0,0.7427
2024.12.26 15:15,0.0,0.76
2024.12.26 15:30,0.0,0.81
2024.12.26 15:45,0.0,0.76
2024.12.26 16:00,0.8109,0.0
2024.12.26 16:15,0.8609,0.0
2024.12.26 16:30,0.8109,0.0
2024.12.27 08:00,0.7683,0.0
2024.12.27 08:15,0.8183,0.0
2024.12.27 08:30,0.7683,0.0
2024.12.27 09:45,0.0,0.7561
2024.12.27 10:00,0.0,0.8061
2024.12.27 10:15,0.0,0.7561
2024.12.27 14:30,0.0,0.7413
2024.12.27 14:45,0.0,0.7913
2024.12.27 15:00,0.0,0.7413
2024.12.27 15:45,0.0,0.6998
2024.12.27 16:00,0.0,0.7498
2024.12.27 16:15,0.0,0.6998
2024.12.27 22:00,0.0,0.77
2024.12.27 22:15,0.0,0.82
2024.12.27 22:30,0.0,0.77
2024.12.27 22:45,0.7861,0.0
2024.12.27 23:00,0.7361,0.0
2024.12.30 08:30,0.0,0.7693
2024.12.30 08:45,0.0,0.8193
2024.12.30 09:00,0.0,0.7693
2024.12.30 11:00,0.7368,0.0
2024.12.30 11:15,0.7868,0.0
2024.12.30 11:30,0.7368,0.0
2024.12.30 16:00,0.7595,0.0
2024.12.30 16:15,0.8095,0.0
2024.12.30 16:30,0.7595,0.0
2024.12.31 08:00,0.7428,0.0
2024.12.31 08:15,0.7928,0.0
2024.12.31 08:30,0.7428,0.0
2025.01.02 10:00,0.0,0.759
2025.01.02 10:15,0.0,0.809
2025.01.02 10:30,0.0,0.759
2025.01.06 13:00,0.71,0.0
2025.01.06 13:15,0.76,0.0
2025.01.06 13:30,0.76,0.0
2025.01.06 13:45,0.71,0.0
2025.01.06 14:00,0.0,0.8572
2025.01.06 14:15,0.0,0.8566
2025.01.06 14:30,0.0,0.8066
2025.01.06 15:30,0.0,0.77
2025.01.06 15:45,0.0,0.82
2025.01.06 16:00,0.0,0.77
2025.01.08 10:00,0.0,0.7525
2025.01.08 10:15,0.0,0.8025
2025.01.08 10:30,0.0,0.7525
2025.01.08 13:30,0.803,0.0
2025.01.08 13:45,0.853,0.0
2025.01.08 14:00,0.803,0.0
2025.01.08 14:15,0.82,0.0
2025.01.08 14:30,0.87,0.0
2025.01.08 14:45,0.82,0.0
2025.01.09 08:15,0.7529,0.0
2025.01.09 08:30,0.8029,0.0
2025.01.09 08:45,0.7529,0.0
2025.01.09 09:45,0.0,0.7584
2025.01.09 10:00,0.0,0.8084
2025.01.09 10:15,0.0,0.7584
2025.01.09 23:00,0.7341,0.0
2025.01.09 23:15,0.7841,0.0
2025.01.09 23:30,0.7341,0.0
2025.01.10 08:45,0.0,0.7569
2025.01.10 09:00,0.0,0.8069
2025.01.10 09:15,0.0,0.7569
2025.01.10 13:30,0.0,0.7228
2025.01.10 13:45,0.0,0.7728
2025.01.10 14:00,0.0,0.7228
2025.01.10 14:45,0.8035,0.0
2025.01.10 15:00,0.8535,0.0
2025.01.10 15:15,0.8035,0.0
2025.01.10 15:30,0.82,0.0
2025.01.10 15:45,0.87,0.0
2025.01.10 16:00,0.82,0.0
2025.01.10 22:00,0.81,0.0
2025.01.10 22:15,0.86,0.0
2025.01.10 22:30,0.81,0.0
2025.01.13 10:15,0.82,0.0
2025.01.13 10:30,0.87,0.0
2025.01.13 10:45,0.82,0.0
2025.01.13 14:00,0.0,0.71
2025.01.13 14:15,0.0,0.76
2025.01.13 14:30,0.0,0.71
2025.01.13 22:30,0.7382,0.0
2025.01.13 22:45,0.7882,0.0
2025.01.13 23:00,0.7382,0.0
2025.01.14 10:45,0.0,0.8162
2025.01.14 11:00,0.0,0.8662
2025.01.14 11:15,0.0,0.8434
2025.01.14 11:30,0.0,0.7934
2025.01.14 16:45,0.7455,0.0
2025.01.14 17:00,0.7955,0.0
2025.01.14 17:15,0.7455,0.0
2025.01.15 09:30,0.0,0.7455
2025.01.15 09:45,0.0,0.7955
2025.01.15 10:00,0.0,0.7455
2025.01.16 08:30,0.808,0.0
2025.01.16 08:45,0.858,0.0
2025.01.16 09:00,0.8528,0.0
2025.01.16 09:15,0.8028,0.0
2025.01.16 10:15,0.0,0.7516
2025.01.16 10:30,0.0,0.8016
2025.01.16 10:45,0.0,0.7516
2025.01.16 14:15,0.0,0.757
2025.01.16 14:30,0.0,0.807
2025.01.16 14:45,0.0,0.757
2025.01.17 09:45,0.7986,0.0
2025.01.17 10:00,0.8486,0.0
2025.01.17 10:15,0.7986,0.0
2025.01.17 23:15,0.7963,0.0
2025.01.17 23:30,0.8463,0.0
2025.01.17 23:45,0.7963,0.0
2025.01.20 08:45,0.0,0.76
2025.01.20 09:00,0.0,0.81
2025.01.20 09:15,0.0,0.76
2025.01.20 15:45,0.82,0.0
2025.01.20 16:00,0.87,0.0
2025.01.20 16:15,0.82,0.0
2025.01.21 13:15,0.8059,0.0
2025.01.21 13:30,0.8559,0.0
2025.01.21 13:45,0.8059,0.0
2025.01.22 15:30,0.8125,0.0
2025.01.22 15:45,0.8625,0.0
2025.01.22 16:00,0.8125,0.0
2025.01.23 08:00,0.82,0.0
2025.01.23 08:15,0.87,0.0
2025.01.23 08:30,0.82,0.0
2025.01.23 11:30,0.82,0.0
2025.01.23 11:45,0.87,0.0
2025.01.23 12:00,0.82,0.0
2025.01.23 13:00,0.7963,0.0
2025.01.23 13:15,0.8463,0.0
2025.01.23 13:30,0.7963,0.0
2025.01.24 08:15,0.0,0.7323
2025.01.24 08:30,0.0,0.7823
2025.01.24 08:45,0.0,0.7323
2025.01.24 09:00,0.0,0.7896
2025.01.24 09:15,0.0,0.7396
2025.01.24 10:15,0.7926,0.0
2025.01.24 10:30,0.8426,0.0
2025.01.24 10:45,0.7926,0.0
2025.01.24 16:00,0.0,0.76
2025.01.24 16:15,0.0,0.81
2025.01.24 16:30,0.0,0.76
2025.01.24 23:15,0.7812,0.0
2025.01.24 23:30,0.8312,0.0
2025.01.24 23:45,0.7812,0.0
2025.01.27 09:00,0.0,0.6886
2025.01.27 09:15,0.0,0.7386
2025.01.27 09:30,0.0,0.6886
2025.01.27 10:15,0.7503,0.0
2025.01.27 10:30,0.8003,0.0
2025.01.27 10:45,0.7503,0.0
2025.01.27 14:00,0.0,0.76
2025.01.27 14:15,0.0,0.81
2025.01.27 14:30,0.0,0.76
2025.01.28 08:15,0.0,0.8056
2025.01.28 08:30,0.0,0.8556
2025.01.28 08:45,0.0,0.8056
2025.01.28 09:00,0.764,0.0
2025.01.28 09:15,0.714,0.0
2025.01.28 10:30,0.76,0.0
2025.01.28 10:45,0.81,0.0
2025.01.28 11:00,0.81,0.0
2025.01.28 11:15,0.76,0.0
2025.01.29 15:30,0.82,0.0
2025.01.29 15:45,0.87,0.0
2025.01.29 16:00,0.82,0.0
2025.01.31 09:00,0.82,0.0
2025.01.31 09:15,0.87,0.0
2025.01.31 09:30,0.82,0.0
2025.01.31 10:45,0.7983,0.0
2025.01.31 11:00,0.8483,0.0
2025.01.31 11:15,0.7983,0.0
2025.02.03 08:00,0.7334,0.0
2025.02.03 08:15,0.7834,0.0
2025.02.03 08:30,0.7334,0.0
2025.02.03 10:00,0.77,0.0
2025.02.03 10:15,0.82,0.0
2025.02.03 10:30,0.77,0.0
2025.02.03 11:30,0.0,0.7418
2025.02.03 11:45,0.0,0.7918
2025.02.03 12:00,0.0,0.7852
2025.02.03 12:15,0.0,0.7352
2025.02.03 14:15,0.7511,0.0
2025.02.03 14:30,0.8011,0.0
2025.02.03 14:45,0.82,0.0
2025.02.03 15:00,0.77,0.0
2025.02.03 23:00,0.0,0.6789
2025.02.03 23:15,0.0,0.7289
2025.02.03 23:30,0.0,0.6789
2025.02.04 09:30,0.8182,0.0
2025.02.04 09:45,0.8682,0.0
2025.02.04 10:00,0.8624,0.0
2025.02.04 10:15,0.8124,0.0
2025.02.04 11:30,0.7485,0.0
2025.02.04 11:45,0.7985,0.0
2025.02.04 12:00,0.7485,0.0
2025.02.04 22:30,0.8004,0.0
2025.02.04 22:45,0.8504,0.0
2025.02.04 23:00,0.8004,0.0
2025.02.05 16:30,0.8194,0.0
2025.02.05 16:45,0.8694,0.0
2025.02.05 17:00,0.8194,0.0
2025.02.05 22:00,0.7884,0.0
2025.02.05 22:15,0.8384,0.0
2025.02.05 22:30,0.7884,0.0
2025.02.06 08:30,0.0,0.71
2025.02.06 08:45,0.0,0.76
2025.02.06 09:00,0.0,0.71
2025.02.07 10:45,0.8052,0.0
2025.02.07 11:00,0.8552,0.0
2025.02.07 11:15,0.8052,0.0
2025.02.10 14:15,0.0,0.7354
2025.02.10 14:30,0.0,0.7854
2025.02.10 14:45,0.0,0.7354
2025.02.10 15:15,0.0,0.76
2025.02.10 15:30,0.0,0.81
2025.02.10 15:45,0.0,0.76
2025.02.10 16:00,0.8113,0.0
2025.02.10 16:15,0.8613,0.0
2025.02.10 16:30,0.8113,0.0
2025.02.10 23:00,0.0,0.7204
2025.02.10 23:15,0.0,0.7704
2025.02.10 23:30,0.0,0.7204
2025.02.11 08:15,0.0,0.75
2025.02.11 08:30,0.0,0.8
2025.02.11 08:45,0.0,0.75
2025.02.11 09:15,0.0,0.71
2025.02.11 09:30,0.0,0.76
2025.02.11 09:45,0.0,0.71
2025.02.12 08:15,0.0,0.82
2025.02.12 08:30,0.0,0.87
2025.02.12 08:45,0.0,0.82
2025.02.12 15:45,0.76,0.0
2025.02.12 16:00,0.81,0.0
2025.02.12 16:15,0.76,0.0
2025.02.12 16:30,0.71,0.0
2025.02.12 22:00,0.7841,0.0
2025.02.12 22:15,0.8341,0.0
2025.02.12 22:30,0.8403,0.0
2025.02.12 22:45,0.7903,0.0
2025.02.13 14:30,0.0,0.749
2025.02.13 14:45,0.0,0.799
2025.02.13 15:00,0.0,0.749
2025.02.14 10:15,0.0,0.741
2025.02.14 10:30,0.0,0.791
2025.02.14 10:45,0.0,0.741
2025.02.14 16:00,0.82,0.0
2025.02.14 16:15,0.87,0.0
2025.02.14 16:30,0.82,0.0
2025.02.17 08:00,0.0,0.77
2025.02.17 08:15,0.0,0.82
2025.02.17 08:30,0.0,0.77
2025.02.20 15:30,0.0,0.71
2025.02.20 15:45,0.0,0.76
2025.02.20 16:00,0.0,0.7533
2025.02.20 16:15,0.0,0.7033
2025.02.20 16:30,0.8634,0.0
2025.02.20 16:45,0.8134,0.0
2025.02.20 22:45,0.7974,0.0
2025.02.20 23:00,0.8474,0.0
2025.02.20 23:15,0.7974,0.0
2025.02.21 13:00,0.7033,0.0
2025.02.21 13:15,0.7533,0.0
2025.02.21 13:30,0.7033,0.0
2025.02.21 13:45,0.0,0.8671
2025.02.21 14:00,0.0,0.8171
2025.02.21 16:45,0.0,0.8192
2025.02.21 17:00,0.0,0.8692
2025.02.21 17:15,0.0,0.8192
2025.02.24 10:15,0.0,0.7378
2025.02.24 10:30,0.0,0.7878
2025.02.24 10:45,0.0,0.7378
2025.02.24 13:00,0.7946,0.0
2025.02.24 13:15,0.8446,0.0
2025.02.24 13:30,0.7946,0.0
2025.02.24 16:00,0.0,0.76
2025.02.24 16:15,0.0,0.81
2025.02.24 16:30,0.0,0.76
2025.02.25 08:45,0.8107,0.0
2025.02.25 09:00,0.8607,0.0
2025.02.25 09:15,0.8107,0.0
2025.02.25 10:00,0.8141,0.0
2025.02.25 10:15,0.8641,0.0
2025.02.25 10:30,0.8465,0.0
2025.02.25 10:45,0.7965,0.0
2025.02.25 14:45,0.76,0.0
2025.02.25 15:00,0.81,0.0
2025.02.25 15:15,0.76,0.0
2025.02.25 15:45,0.7432,0.0
2025.02.25 16:00,0.7932,0.0
2025.02.25 16:15,0.7432,0.0
2025.02.25 16:30,0.0,0.8125
2025.02.25 16:45,0.0,0.8625
2025.02.25 17:00,0.0,0.8125
2025.02.26 09:30,0.7441,0.0
2025.02.26 09:45,0.7941,0.0
2025.02.26 10:00,0.7441,0.0
2025.02.26 13:15,0.7181,0.0
2025.02.26 13:30,0.7681,0.0
2025.02.26 13:45,0.7181,0.0
2025.02.26 23:30,0.0,0.7989
2025.02.26 23:45,0.0,0.8489
2025.02.27 01:00,0.0,0.7989
2025.02.28 11:00,0.757,0.0
2025.02.28 11:15,0.807,0.0
2025.02.28 11:30,0.757,0.0
2025.03.03 10:15,0.76,0.0
2025.03.03 10:30,0.81,0.0
2025.03.03 10:45,0.76,0.0
2025.03.03 11:00,0.7939,0.0
2025.03.03 11:15,0.7439,0.0
2025.03.03 22:45,0.8194,0.0
2025.03.03 23:00,0.8694,0.0
2025.03.03 23:15,0.8194,0.0
2025.03.03 23:45,0.0,0.7178
2025.03.04 01:00,0.0,0.7678
2025.03.04 01:15,0.0,0.7178
2025.03.04 08:00,0.0,0.7273
2025.03.04 08:15,0.0,0.7773
2025.03.04 08:30,0.0,0.7273
2025.03.04 08:45,0.8157,0.0
2025.03.04 09:00,0.8657,0.0
2025.03.04 09:15,0.8157,0.0
2025.03.05 13:45,0.8162,0.0
2025.03.05 14:00,0.8662,0.0
2025.03.05 14:15,0.8162,0.0
2025.03.05 16:15,0.8145,0.0
2025.03.05 16:30,0.8645,0.0
2025.03.05 16:45,0.8145,0.0
2025.03.05 22:45,0.0,0.7147
2025.03.05 23:00,0.0,0.7647
2025.03.05 23:15,0.0,0.7147
2025.03.06 09:15,0.0,0.71
2025.03.06 09:30,0.0,0.76
2025.03.06 09:45,0.0,0.71
2025.03.06 16:30,0.6922,0.0
2025.03.06 16:45,0.7422,0.0
2025.03.06 17:00,0.6922,0.0
2025.03.07 08:00,0.6904,0.0
2025.03.07 08:15,0.7404,0.0
2025.03.07 08:30,0.6904,0.0
2025.03.07 13:45,0.8023,0.0
2025.03.07 14:00,0.8523,0.0
2025.03.07 14:15,0.8023,0.0
2025.03.07 16:00,0.82,0.0
2025.03.07 16:15,0.87,0.0
2025.03.07 16:30,0.82,0.0
2025.03.10 08:15,0.751,0.0
2025.03.10 08:30,0.801,0.0
2025.03.10 08:45,0.751,0.0
2025.03.10 09:30,0.0,0.7396
2025.03.10 09:45,0.0,0.7896
2025.03.10 10:00,0.0,0.7396
2025.03.10 11:00,0.76,0.0
2025.03.10 11:15,0.81,0.0
2025.03.10 11:30,0.76,0.0
2025.03.10 13:30,0.7379,0.0
2025.03.10 13:45,0.7879,0.0
2025.03.10 14:00,0.7379,0.0
2025.03.11 08:00,0.7453,0.0
2025.03.11 08:15,0.7953,0.0
2025.03.11 08:30,0.81,0.0
2025.03.11 08:45,0.76,0.0
2025.03.11 14:15,0.7672,0.0
2025.03.11 14:30,0.8172,0.0
2025.03.11 14:45,0.7672,0.0
2025.03.11 15:00,0.0,0.81
2025.03.11 15:15,0.0,0.76
2025.03.12 08:15,0.0,0.76
2025.03.12 08:30,0.0,0.81
2025.03.12 08:45,0.0,0.76
2025.03.12 09:00,0.0,0.71
2025.03.12 09:45,0.8027,0.0
2025.03.12 10:00,0.8527,0.0
2025.03.12 10:15,0.847,0.0
2025.03.12 10:30,0.797,0.0
2025.03.12 15:30,0.7953,0.0
2025.03.12 15:45,0.8453,0.0
2025.03.12 16:00,0.7953,0.0
2025.03.13 14:00,0.0,0.7441
2025.03.13 14:15,0.0,0.7941
2025.03.13 14:30,0.0,0.7441
2025.03.14 08:15,0.8006,0.0
2025.03.14 08:30,0.8506,0.0
2025.03.14 08:45,0.8006,0.0
2025.03.14 09:00,0.0,0.7856
2025.03.14 09:15,0.0,0.7356
2025.03.17 08:15,0.77,0.0
2025.03.17 08:30,0.82,0.0
2025.03.17 08:45,0.77,0.0
2025.03.17 13:45,0.0,0.76
2025.03.17 14:00,0.0,0.81
2025.03.17 14:15,0.0,0.76
2025.03.18 00:00,0.0,0.7431
2025.03.18 00:15,0.0,0.7931
2025.03.18 00:30,0.0,0.7431
2025.03.19 08:00,0.0,0.76
2025.03.19 08:15,0.0,0.81
2025.03.19 08:30,0.0,0.76
2025.03.19 11:00,0.7985,0.0
2025.03.19 11:15,0.8485,0.0
2025.03.19 11:30,0.8346,0.0
2025.03.19 11:45,0.8345,0.0
2025.03.19 12:00,0.7845,0.0
2025.03.19 13:00,0.7866,0.0
2025.03.19 13:15,0.8366,0.0
2025.03.19 13:30,0.7866,0.0
2025.03.20 15:00,0.0,0.71
2025.03.20 15:15,0.0,0.76
2025.03.20 15:30,0.0,0.71
2025.03.20 22:00,0.0,0.7128
2025.03.20 22:15,0.0,0.7628
2025.03.20 22:30,0.0,0.7128
2025.03.21 10:00,0.0,0.8157
2025.03.21 10:15,0.0,0.8657
2025.03.21 10:30,0.783,0.0
2025.03.21 10:45,0.733,0.0
2025.04.01 08:30,0.0,0.76
2025.04.01 08:45,0.0,0.81
2025.04.01 09:00,0.0,0.76
2025.04.01 10:45,0.7901,0.0
2025.04.01 11:00,0.8401,0.0
2025.04.01 11:15,0.7901,0.0
2025.04.02 08:30,0.82,0.0
2025.04.02 08:45,0.87,0.0
2025.04.02 09:00,0.82,0.0
2025.04.02 11:15,0.7552,0.0
2025.04.02 11:30,0.8052,0.0
2025.04.02 11:45,0.7552,0.0
2025.04.02 13:30,0.0,0.76
2025.04.02 13:45,0.0,0.81
2025.04.02 14:00,0.869,0.0
2025.04.02 14:15,0.819,0.0
2025.04.02 16:30,0.0,0.7512
2025.04.02 16:45,0.0,0.8012
2025.04.02 17:00,0.0,0.7512
2025.04.02 23:00,0.82,0.0
2025.04.02 23:15,0.87,0.0
2025.04.02 23:30,0.82,0.0
2025.04.03 22:30,0.7379,0.0
2025.04.03 22:45,0.7879,0.0
2025.04.03 23:00,0.7379,0.0
2025.04.04 08:00,0.7369,0.0
2025.04.04 08:15,0.7869,0.0
2025.04.04 08:30,0.7369,0.0
2025.04.04 14:15,0.0,0.7956
2025.04.04 14:30,0.0,0.8456
2025.04.04 14:45,0.0,0.7956
2025.05.01 15:15,0.82,0.0
2025.05.01 15:30,0.87,0.0
2025.05.01 15:45,0.82,0.0
2025.05.02 09:15,0.0,0.76
2025.05.02 09:30,0.0,0.81
2025.05.02 09:45,0.0,0.76
2025.05.02 14:30,0.0,0.7289
2025.05.02 14:45,0.0,0.7789
2025.05.02 15:00,0.0,0.7289
2025.05.02 22:30,0.7937,0.0
2025.05.02 22:45,0.8437,0.0
2025.05.02 23:00,0.7937,0.0
2025.05.02 23:15,0.8312,0.0
2025.05.02 23:30,0.7812,0.0
2025.05.05 14:15,0.0,0.7329
2025.05.05 14:30,0.0,0.7829
2025.05.05 14:45,0.0,0.7329
2025.05.06 08:45,0.8157,0.0
2025.05.06 09:00,0.8657,0.0
2025.05.06 09:15,0.8157,0.0
